customer_id,loyalty_points,tier,points_earned_ytd,points_redeemed_ytd,last_reward_date,tier_benefits,remaining_points
252,1393,Gold,4660,2844,2024-10-05,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3209
253,295,Bronze,2215,1525,2024-10-25,"['Basic Support', 'Birthday Reward']",985
254,2523,Gold,4218,1530,2024-10-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5211
255,4677,Platinum,2890,21,2024-09-15,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7546
256,1173,Silver,3132,1235,2024-10-24,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3070
257,1835,Silver,4212,1136,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4911
258,3089,Bronze,3930,915,,"['Basic Support', 'Birthday Reward']",6104
259,8777,Platinum,166,2401,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6542
260,2098,Silver,1992,282,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3808
261,7823,Bronze,1909,370,2024-12-07,"['Basic Support', 'Birthday Reward']",9362
262,6570,Silver,579,1855,2024-09-30,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5294
263,8901,Silver,400,456,2024-09-28,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8845
264,3882,Platinum,1335,1438,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3779
265,8406,Gold,2348,1285,2024-10-27,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9469
266,6177,Silver,3498,2752,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6923
267,4572,Silver,2111,1146,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5537
268,9642,Gold,2648,921,2024-11-14,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",11369
269,237,Platinum,1895,2526,2024-11-22,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-394
270,3751,Silver,2152,469,2024-10-13,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5434
271,3104,Platinum,2670,1578,2024-10-18,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4196
272,3116,Bronze,4575,2917,2024-10-13,"['Basic Support', 'Birthday Reward']",4774
273,1780,Silver,3364,454,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4690
274,6781,Platinum,818,1703,2024-09-25,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5896
275,4730,Silver,2450,1296,2024-10-24,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5884
276,6379,Silver,2741,1351,2024-12-06,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7769
277,2921,Silver,4630,1023,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6528
278,2855,Gold,2019,199,2024-11-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4675
279,8004,Platinum,2489,1186,2024-10-22,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9307
280,4335,Gold,3038,2254,2024-09-27,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5119
281,204,Silver,3062,1841,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",1425
282,4120,Platinum,1714,357,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5477
283,8066,Gold,3775,1905,2024-10-05,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9936
284,2927,Bronze,274,2751,2024-11-16,"['Basic Support', 'Birthday Reward']",450
285,8318,Bronze,655,2126,,"['Basic Support', 'Birthday Reward']",6847
286,5207,Bronze,3518,2441,,"['Basic Support', 'Birthday Reward']",6284
287,3564,Platinum,2299,1735,2024-10-07,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4128
288,1629,Silver,714,2651,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",-308
289,2193,Platinum,4207,2002,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4398
290,3772,Platinum,2216,1630,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4358
291,5280,Gold,1469,240,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6509
292,3052,Silver,3175,100,2024-10-03,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6127
293,5708,Platinum,3925,2961,2024-12-12,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6672
294,7901,Silver,3729,2754,2024-10-02,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8876
295,8787,Silver,4677,639,2024-10-27,"['Priority Support', 'Free Shipping', 'Birthday Reward']",12825
296,8843,Bronze,3147,2175,,"['Basic Support', 'Birthday Reward']",9815
297,772,Bronze,520,348,2024-11-04,"['Basic Support', 'Birthday Reward']",944
298,694,Platinum,4789,2181,2024-12-01,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3302
299,5346,Bronze,2440,1907,2024-12-02,"['Basic Support', 'Birthday Reward']",5879
300,6972,Gold,3003,1650,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8325
301,1664,Silver,4059,872,2024-10-27,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4851
302,4867,Silver,1528,1362,2024-10-04,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5033
303,3470,Silver,4014,1332,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6152
304,6679,Silver,314,2883,2024-11-23,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4110
305,6948,Silver,357,100,2024-12-06,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7205
306,4931,Bronze,726,970,2024-10-15,"['Basic Support', 'Birthday Reward']",4687
307,5577,Platinum,4660,1675,2024-11-30,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8562
308,8351,Gold,533,1696,2024-11-06,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7188
309,4185,Silver,2068,2104,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4149
310,6505,Silver,4113,2317,2024-09-23,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8301
311,2716,Gold,1069,1903,2024-12-06,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1882
312,3565,Gold,3005,596,2024-11-13,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5974
313,9530,Silver,4618,1903,2024-10-01,"['Priority Support', 'Free Shipping', 'Birthday Reward']",12245
314,3008,Silver,3173,1021,2024-11-09,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5160
315,1808,Platinum,1244,2236,2024-10-30,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",816
316,6115,Bronze,1411,1653,,"['Basic Support', 'Birthday Reward']",5873
317,7281,Silver,4287,1865,2024-11-22,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9703
318,724,Platinum,2887,1857,2024-11-10,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",1754
319,591,Bronze,4320,1419,,"['Basic Support', 'Birthday Reward']",3492
320,3148,Platinum,1359,2237,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2270
321,3938,Platinum,2403,2009,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4332
322,9748,Platinum,3513,1514,2024-11-02,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11747
323,9991,Gold,3578,880,2024-11-17,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",12689
324,2750,Platinum,983,1796,2024-11-30,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",1937
325,7130,Silver,4174,1461,2024-10-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9843
326,2067,Gold,4164,2665,2024-09-30,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3566
327,6702,Platinum,4231,344,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10589
328,5531,Gold,1922,568,2024-11-12,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6885
329,6661,Gold,2478,1789,2024-11-30,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7350
330,7540,Platinum,4005,2842,2024-11-26,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8703
331,7505,Bronze,339,2402,2024-10-14,"['Basic Support', 'Birthday Reward']",5442
332,5201,Platinum,4979,2167,2024-11-21,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8013
333,610,Bronze,3852,2685,,"['Basic Support', 'Birthday Reward']",1777
334,7921,Silver,264,140,2024-09-21,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8045
335,8039,Bronze,4759,776,,"['Basic Support', 'Birthday Reward']",12022
336,675,Gold,2189,1993,2024-09-22,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",871
337,7275,Silver,3780,2376,2024-09-24,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8679
338,2100,Bronze,4207,127,2024-10-27,"['Basic Support', 'Birthday Reward']",6180
339,2812,Silver,1303,852,2024-12-02,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3263
340,587,Bronze,4795,2122,,"['Basic Support', 'Birthday Reward']",3260
341,8750,Bronze,3795,1930,2024-10-03,"['Basic Support', 'Birthday Reward']",10615
342,1460,Platinum,3521,2152,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2829
343,6399,Gold,4755,951,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10203
344,9368,Bronze,105,2012,2024-09-30,"['Basic Support', 'Birthday Reward']",7461
345,3299,Silver,4212,823,2024-11-07,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6688
346,2021,Gold,2961,2965,2024-12-12,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2017
347,1431,Bronze,4741,477,,"['Basic Support', 'Birthday Reward']",5695
348,6009,Platinum,584,1028,2024-11-02,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5565
349,6604,Silver,3094,1923,2024-12-08,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7775
350,8474,Silver,3937,253,2024-11-15,"['Priority Support', 'Free Shipping', 'Birthday Reward']",12158
351,9365,Gold,1753,1116,2024-10-27,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10002
352,2198,Bronze,941,1913,,"['Basic Support', 'Birthday Reward']",1226
353,4632,Platinum,3267,970,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6929
354,899,Bronze,3947,1905,,"['Basic Support', 'Birthday Reward']",2941
355,8882,Gold,4080,1952,2024-10-27,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",11010
356,489,Gold,1437,1193,2024-11-14,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",733
357,8851,Bronze,3756,1358,2024-10-02,"['Basic Support', 'Birthday Reward']",11249
358,9217,Gold,392,1369,2024-12-11,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8240
359,1062,Bronze,4302,2105,2024-10-18,"['Basic Support', 'Birthday Reward']",3259
360,9660,Bronze,1262,1558,2024-09-15,"['Basic Support', 'Birthday Reward']",9364
361,1576,Bronze,4836,692,2024-12-05,"['Basic Support', 'Birthday Reward']",5720
362,6280,Platinum,2038,1259,2024-11-19,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7059
363,4655,Bronze,754,973,,"['Basic Support', 'Birthday Reward']",4436
364,7408,Bronze,3848,482,,"['Basic Support', 'Birthday Reward']",10774
365,9194,Silver,3431,446,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",12179
366,819,Platinum,2777,1552,2024-09-13,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2044
367,5635,Platinum,2211,1335,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6511
368,9697,Silver,3277,1570,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",11404
369,36,Silver,1399,791,2024-11-05,"['Priority Support', 'Free Shipping', 'Birthday Reward']",644
370,593,Gold,497,1914,2024-12-03,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-824
371,4072,Platinum,2814,1002,2024-10-30,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5884
372,8012,Bronze,902,458,2024-09-28,"['Basic Support', 'Birthday Reward']",8456
373,6616,Gold,11,2096,2024-12-12,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4531
374,3636,Gold,1487,1709,2024-12-05,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3414
375,8951,Gold,1825,2049,2024-10-28,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8727
376,8369,Bronze,2246,2823,2024-10-27,"['Basic Support', 'Birthday Reward']",7792
377,3584,Bronze,4899,1189,2024-10-22,"['Basic Support', 'Birthday Reward']",7294
378,393,Platinum,3493,410,2024-11-13,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3476
379,1876,Gold,1461,1895,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1442
380,4573,Gold,4415,936,2024-11-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8052
381,4418,Platinum,699,108,2024-11-14,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5009
382,299,Gold,243,2660,2024-09-23,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-2118
383,7696,Platinum,464,2327,2024-10-09,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5833
384,4495,Platinum,584,2578,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2501
385,9059,Bronze,4900,2508,2024-12-05,"['Basic Support', 'Birthday Reward']",11451
386,4391,Platinum,2924,2719,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4596
387,3378,Bronze,748,2107,2024-11-26,"['Basic Support', 'Birthday Reward']",2019
388,5728,Silver,2442,943,2024-10-19,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7227
389,3747,Silver,1673,1246,2024-11-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4174
390,5357,Gold,4599,1323,2024-10-13,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8633
391,6164,Platinum,648,818,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5994
392,4751,Gold,2522,776,2024-10-29,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6497
393,1802,Platinum,2878,759,2024-12-11,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3921
394,5057,Gold,2437,461,2024-09-18,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7033
395,3815,Gold,956,1735,2024-09-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3036
396,2242,Platinum,476,1823,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",895
397,2829,Gold,3025,2484,2024-09-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3370
398,3226,Bronze,4274,2731,,"['Basic Support', 'Birthday Reward']",4769
399,5287,Silver,3046,2123,2024-11-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6210
400,2374,Platinum,4685,442,2024-09-18,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6617
401,4804,Silver,1694,352,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6146
402,9440,Silver,402,2503,2024-10-13,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7339
403,7815,Platinum,4393,1303,2024-09-23,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10905
404,8458,Gold,4845,2569,2024-09-21,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10734
405,8246,Platinum,94,1347,2024-12-09,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6993
406,8655,Platinum,3179,371,2024-09-30,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11463
407,9654,Bronze,374,1022,2024-09-19,"['Basic Support', 'Birthday Reward']",9006
408,9477,Bronze,4595,790,2024-12-07,"['Basic Support', 'Birthday Reward']",13282
409,3596,Silver,1306,631,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4271
410,6175,Gold,2906,2238,2024-10-13,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6843
411,916,Silver,4164,1875,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3205
412,3739,Silver,2958,1919,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4778
413,1345,Platinum,1383,1578,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",1150
414,3704,Gold,1045,240,2024-11-18,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4509
415,9779,Bronze,4028,2133,2024-09-25,"['Basic Support', 'Birthday Reward']",11674
416,6403,Gold,4316,2307,2024-12-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8412
417,5483,Gold,2582,1536,2024-09-16,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6529
418,4348,Bronze,1593,1235,,"['Basic Support', 'Birthday Reward']",4706
419,6032,Silver,434,1488,2024-10-11,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4978
420,3006,Gold,441,1931,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1516
421,4798,Bronze,4113,2135,2024-09-26,"['Basic Support', 'Birthday Reward']",6776
422,7877,Platinum,2606,1527,2024-09-25,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8956
423,4201,Silver,246,2879,2024-10-31,"['Priority Support', 'Free Shipping', 'Birthday Reward']",1568
424,472,Bronze,4260,1363,,"['Basic Support', 'Birthday Reward']",3369
425,288,Platinum,4237,1224,2024-11-13,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3301
426,3061,Gold,3085,2478,2024-09-28,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3668
427,1812,Gold,3288,2421,2024-11-14,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2679
428,1577,Silver,868,513,2024-11-09,"['Priority Support', 'Free Shipping', 'Birthday Reward']",1932
429,2088,Bronze,902,1317,2024-10-24,"['Basic Support', 'Birthday Reward']",1673
430,552,Platinum,1577,2944,2024-11-09,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-815
431,1348,Bronze,4402,2457,2024-11-04,"['Basic Support', 'Birthday Reward']",3293
432,9191,Bronze,4305,560,2024-12-01,"['Basic Support', 'Birthday Reward']",12936
433,7018,Platinum,4254,1371,2024-11-12,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9901
434,8586,Silver,2956,1738,2024-10-15,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9804
435,2701,Platinum,4171,1053,2024-11-22,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5819
436,7799,Silver,1741,1686,2024-11-19,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7854
437,8602,Platinum,4146,518,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",12230
438,6621,Bronze,1554,1102,,"['Basic Support', 'Birthday Reward']",7073
439,1529,Platinum,164,2349,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",-656
440,2861,Silver,1112,739,2024-12-08,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3234
441,9090,Bronze,4064,147,,"['Basic Support', 'Birthday Reward']",13007
442,8309,Bronze,4958,1272,2024-11-10,"['Basic Support', 'Birthday Reward']",11995
443,4596,Silver,2192,1564,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5224
444,7796,Bronze,1344,1122,2024-10-14,"['Basic Support', 'Birthday Reward']",8018
445,4470,Bronze,3274,150,,"['Basic Support', 'Birthday Reward']",7594
446,6312,Silver,4769,2023,2024-11-07,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9058
447,4713,Bronze,901,2076,2024-11-09,"['Basic Support', 'Birthday Reward']",3538
448,6236,Silver,643,1684,2024-11-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5195
449,2067,Gold,1846,1738,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2175
450,5123,Gold,3094,137,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8080
451,7206,Gold,3023,13,2024-12-04,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10216
452,9140,Silver,4961,2820,2024-09-16,"['Priority Support', 'Free Shipping', 'Birthday Reward']",11281
453,7308,Gold,4839,1482,2024-11-05,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10665
454,9457,Gold,2287,1720,2024-12-11,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10024
455,2473,Silver,1425,795,2024-12-11,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3103
456,7571,Gold,4062,927,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10706
457,9733,Bronze,2013,628,,"['Basic Support', 'Birthday Reward']",11118
458,6966,Gold,2393,1205,2024-11-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8154
459,6240,Platinum,4087,912,2024-09-28,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9415
460,6441,Platinum,3697,1304,2024-10-11,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8834
461,8186,Silver,607,2607,2024-12-12,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6186
462,6607,Bronze,4262,1424,2024-11-04,"['Basic Support', 'Birthday Reward']",9445
463,2110,Gold,415,394,2024-11-22,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2131
464,6105,Silver,4950,624,2024-10-23,"['Priority Support', 'Free Shipping', 'Birthday Reward']",10431
465,3902,Bronze,570,2667,2024-12-03,"['Basic Support', 'Birthday Reward']",1805
466,6885,Platinum,2010,538,2024-11-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8357
467,7442,Platinum,897,1493,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6846
468,5718,Silver,3650,2419,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6949
469,3583,Bronze,3172,2149,2024-10-23,"['Basic Support', 'Birthday Reward']",4606
470,1713,Silver,2332,2773,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",1272
471,5068,Gold,4066,2980,2024-11-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6154
472,1224,Bronze,3179,1198,,"['Basic Support', 'Birthday Reward']",3205
473,8208,Silver,697,1354,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7551
474,6495,Bronze,4680,257,2024-10-09,"['Basic Support', 'Birthday Reward']",10918
475,4901,Silver,1061,1198,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4764
476,5789,Bronze,1634,2591,2024-09-13,"['Basic Support', 'Birthday Reward']",4832
477,946,Gold,817,2297,2024-11-22,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-534
478,325,Gold,4216,1488,2024-09-23,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3053
479,599,Silver,4788,1878,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",3509
480,4535,Platinum,2754,286,2024-11-12,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7003
481,9814,Platinum,4782,1977,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",12619
482,3568,Bronze,2826,970,,"['Basic Support', 'Birthday Reward']",5424
483,9017,Silver,2006,1614,2024-09-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9409
484,3833,Gold,4651,2336,2024-10-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6148
485,9070,Gold,2548,749,2024-10-19,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10869
486,7973,Bronze,4067,1726,2024-11-07,"['Basic Support', 'Birthday Reward']",10314
487,5682,Silver,3053,1160,2024-09-26,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7575
488,5110,Gold,4913,1007,2024-09-26,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",9016
489,6795,Bronze,3269,2240,2024-10-14,"['Basic Support', 'Birthday Reward']",7824
490,6095,Silver,1696,196,2024-10-05,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7595
491,2175,Platinum,2034,391,2024-10-31,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3818
492,3455,Bronze,1623,2718,2024-10-01,"['Basic Support', 'Birthday Reward']",2360
493,1812,Bronze,4652,2731,2024-10-13,"['Basic Support', 'Birthday Reward']",3733
494,5030,Silver,1880,2310,2024-10-25,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4600
495,6696,Platinum,3588,241,2024-12-07,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10043
496,6945,Bronze,350,2885,,"['Basic Support', 'Birthday Reward']",4410
497,269,Platinum,3538,312,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3495
498,5266,Gold,4763,1558,2024-09-29,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8471
499,8033,Platinum,420,1396,2024-11-18,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",7057
500,2647,Platinum,640,705,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2582
501,9445,Silver,4833,306,2024-11-07,"['Priority Support', 'Free Shipping', 'Birthday Reward']",13972
502,7107,Platinum,1283,2692,2024-09-20,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5698
503,8082,Platinum,4491,1747,,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",10826
504,5679,Gold,722,2850,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3551
505,9527,Bronze,4930,2072,2024-10-04,"['Basic Support', 'Birthday Reward']",12385
506,1701,Gold,3008,634,2024-11-29,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4075
507,2926,Bronze,2624,796,,"['Basic Support', 'Birthday Reward']",4754
